"VILLE",CODE_INSEE,LONGITUDE,LATITUDE,DATE,INDICE_QUALITE_AIR,SOUS_INDICE_OZONE,SOUS_INDICE_PARTICULES_FINES,SOUS_INDICE_DIOXYDE_D'AZOTE,SOUS_INDICE_DIOXYDE_DE_SOUFRE,"CODE_COULEUR"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,12/06/2005,5,5,2,1,1,"ORANGE"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,13/06/2005,5,5,2,1,1,"ORANGE"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,14/06/2005,4,4,2,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,15/06/2005,4,4,2,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,16/06/2005,3,3,2,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,17/06/2005,3,3,2,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,18/06/2005,5,5,2,2,1,"ORANGE"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,19/06/2005,5,5,2,1,1,"ORANGE"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,20/06/2005,4,4,2,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,21/06/2005,5,5,2,1,1,"ORANGE"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,22/06/2005,7,7,2,2,1,"ORANGE"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,23/06/2005,8,8,4,3,2,"ROUGE"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,24/06/2005,5,5,3,1,1,"ORANGE"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,25/06/2005,5,5,4,2,2,"ORANGE"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,26/06/2005,6,6,3,1,2,"ORANGE"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,27/06/2005,7,7,3,2,1,"ORANGE"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,28/06/2005,5,5,3,2,1,"ORANGE"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,29/06/2005,4,4,2,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,30/06/2005,4,4,2,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,01/07/2005,3,3,3,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,02/07/2005,3,3,2,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,03/07/2005,3,3,2,1,1,"VERT"
