"VILLE",CODE_INSEE,LONGITUDE,LATITUDE,DATE,INDICE_QUALITE_AIR,SOUS_INDICE_OZONE,SOUS_INDICE_PARTICULES_FINES,SOUS_INDICE_DIOXYDE_D'AZOTE,SOUS_INDICE_DIOXYDE_DE_SOUFRE,"CODE_COULEUR"
"LAVAL",53130,-0.770371, 48.072007,25/04/2005,4,4,2,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,26/04/2005,3,3,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,27/04/2005,4,4,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,28/04/2005,4,4,2,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,29/04/2005,3,3,2,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,30/04/2005,5,5,2,2,1,"ORANGE"
"LAVAL",53130,-0.770371, 48.072007,01/05/2005,5,5,3,2,1,"ORANGE"
"LAVAL",53130,-0.770371, 48.072007,02/05/2005,4,4,2,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,03/05/2005,4,4,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,04/05/2005,3,3,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,05/05/2005,4,4,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,06/05/2005,4,4,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,07/05/2005,4,4,1,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,08/05/2005,4,4,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,09/05/2005,4,4,2,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,10/05/2005,4,4,2,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,11/05/2005,4,4,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,12/05/2005,4,4,2,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,13/05/2005,3,3,2,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,14/05/2005,4,4,1,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,15/05/2005,4,4,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,16/05/2005,3,3,1,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,17/05/2005,3,3,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,18/05/2005,4,4,2,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,19/05/2005,3,3,2,1,1,"VERT"
